"Txhash","UnixTimestamp","DateTime","From","To","Value","ContractAddress","TokenName","TokenSymbol","PrivateNote"
"0x6955e41d2766c90bf1ee04504d90ef3be52dca1f582073b0630d3a233fb09b0d","1651418409","2022-05-01 15:20:09","0x7b41070cbaa7a90cc7675251ea4e0d85ebc8b78d","0xdac17f958d2ee523a2206206994597c13d831ec7","2,000","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT",""
"0x5dc59bf836d57249a8032a39214b43b40645ffb5354e1aa7d19ee508b3d32a99","1651427332","2022-05-01 17:48:52","0x2d8e38c119fecb67475701e2cf1c61ea063eff03","0xdac17f958d2ee523a2206206994597c13d831ec7","93.646","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT",""
"0x2c57a64f377bd09f3eb4dde2e239544bf555a5fad0b760f6833b68dae35f4338","1651464993","2022-05-02 04:16:33","0xa6851287b2be358d256f8e0a6640e1d3045c6866","0xdac17f958d2ee523a2206206994597c13d831ec7","389.980501","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT",""
"0x46a6fd20fbe418635673632e0cae2ce416dadcfd59c7736db0e64b607d16a11b","1651467487","2022-05-02 04:58:07","0x5041ed759dd4afc3a72b8192c143f72f4724081a","0xdac17f958d2ee523a2206206994597c13d831ec7","296.775","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT",""
"0xb4e60f4f44eeb5c8c4e9c7fae5271dcdbfaee6a266a1f3ee1a03f8d6c9ab0fc9","1651484266","2022-05-02 09:37:46","0x800e21ad58d525ebf45f6a47fb419a027578d2f8","0xdac17f958d2ee523a2206206994597c13d831ec7","185.089866","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT",""
"0x4dc231b84c58407051d4fc0db27e495c62da401c96b6967cd0bf76797955308d","1651493056","2022-05-02 12:04:16","0xf153a88e3aa77c18b24bff2c84c8e6ff5bcc88fb","0xdac17f958d2ee523a2206206994597c13d831ec7","1,250","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT",""
"0x287ce261c063003e46f3896e947307db6fdfc1eee17274c72e2467a9d92bf059","1651526454","2022-05-02 21:20:54","0x6748f50f686bfbca6fe8ad62b22228b87f31ff2b","0xdac17f958d2ee523a2206206994597c13d831ec7","10,000.90588","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT",""
"0xa52186318eb849ac5c7c11b891a30ec8113b0fd452cca0adce78394acfc67193","1651526629","2022-05-02 21:23:49","0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2","0xdac17f958d2ee523a2206206994597c13d831ec7","14.886088","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT",""
"0x1d66c8cfa98c54655618c429bc572adff2d8c7b66764db7f430ae0c40acaf916","1651552161","2022-05-03 04:29:21","0x23ad8bfd8a4a18680bf51fe94cf40a6e02715a5d","0xdac17f958d2ee523a2206206994597c13d831ec7","1,000.050003","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT",""
"0x5bc7b845f6a15fc1e8edf6700df19d2d9de506aee6834b9dd6a91ba5067fc9db","1651556421","2022-05-03 05:40:21","0xe8114b81d775be0789d66b17a11127410f666903","0xdac17f958d2ee523a2206206994597c13d831ec7","10,000","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT",""
"0xb66be600a2e12d6b21d43739e15bcdfed4213ef0a31f5fea6fe7ea45b9891b5d","1651584759","2022-05-03 13:32:39","0x5f612e6b8594d7e3c83c3e6bdde501c5f23084c9","0xdac17f958d2ee523a2206206994597c13d831ec7","9,000","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT",""
"0x7f2d63dc4c5ee976a69850fcd0811499fe47bd758c7d7c889ab6a60ee1ac3f01","1651587984","2022-05-03 14:26:24","0x10d9a918371d97b32190d0925d35bf30f033d411","0xdac17f958d2ee523a2206206994597c13d831ec7","2,100.315047","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT",""
